,Title,Actual_Price,Selling_Price,Model Name,Color,Headphone Type,Inline Remote,Sales Package,Connectivity,Headphone Design,Accessories Included
175,"ZEBRONICS ZEB-BANG Bluetooth Headset  (Orange, On the Ear)","₹1,599","₹1,450",ZEB-BANG,Orange,On the Ear,Yes,"1 X Headphone, 1 X Charging Cable, 1 X User Manual",Bluetooth,Over the Head,
176,"boAt Rockerz 510 Super Extra Bass Bluetooth Headset  (Molten Orange, On the Ear)","₹3,490","₹1,199",Rockerz 510 / Rockerz 518,Molten Orange,On the Ear,Yes,"Rockerz 510, Charging Cable, User Manual, Warranty Card",Bluetooth,,
177,"Wings Phantom 205 Neck band with touch controls Bluetooth Gaming Headset  (Grey, In the Ear)","₹2,999",₹899,Phantom 205 Neck band with touch controls,Grey,In the Ear,No,"1 Headphone, Cable, Eartips, User Manual",Bluetooth,Behind the Neck,
178,"boAt Rockerz 255 Arc with ENx Technology and upto 30 Hours Playback Bluetooth Headset  (Fern Green, In the Ear)","₹2,990","₹1,299",Rockerz 255 Arc,Fern Green,In the Ear,Yes,"1 Headphone, Additional Earbuds, Charging Cable, User Manual, Warranty Card",Bluetooth,Behind the Neck,
179,"boAt Rockerz 255 Arc with ENx Technology, Quick Switch Button & 30 HRS Playback Bluetooth Headset  (Wave Blue, In the Ear)","₹2,990","₹1,299",Rockerz 255 Arc,Wave Blue,In the Ear,Yes,"1 Headphone, Additional Earbuds, Charging Cable, User Manual, Warranty Card",Bluetooth,Behind the Neck,
180,"Skullcandy Hesh ANC Bluetooth Headset  (Black, On the Ear)","₹19,999","₹11,194",Hesh ANC,Black,On the Ear,Yes,"Hesh ANC Wireless Headphone, USB-C Charging Cable, Backup AUX Cable, User Guide",Bluetooth,Over the Head,
181,"Boult Audio AirBass GearPods with 32H Playtime Bluetooth Headset  (White, True Wireless)","₹5,999",₹999,AirBass GearPods,White,True Wireless,Yes,1 Pair of Earbuds Charging Case Type-C charging cable Instruction Manual,Bluetooth,Earbud,
182,"PTron Boom Gaming Wired Gaming Headset  (Black, In the Ear)","₹1,699",₹699,Boom Gaming,Black,In the Ear,Yes,"1 earphone , user manual ,warranty card",Wired,Earbud,
183,"PTron Pride Lite HBE Wired Headset  (Black, In the Ear)",₹899,₹399,Pride Lite HBE,Black,In the Ear,Yes,earphone,Wired,Canalphone,
184,"ZEBRONICS Zeb Yoga 4 Bluetooth Headset  (Black, Yellow, True Wireless)","₹1,399",₹999,Zeb Yoga 4,"Black, Yellow",True Wireless,No,01 Unit Neckband x 01 charging cable x 01 user manual x 01 extra earbuds,Bluetooth,Behind the Neck,
185,"boAt Rockerz 510 Super Extra Bass Bluetooth Headset  (Molten Orange, On the Ear)","₹3,490","₹1,199",Rockerz 510 / Rockerz 518,Molten Orange,On the Ear,Yes,"Rockerz 510, Charging Cable, User Manual, Warranty Card",Bluetooth,,
186,"ZEBRONICS Zeb Duke 1 Wireless Headphone with Mic Bluetooth Headset  (Red, On the Ear)","₹2,499",₹999,Zeb-Duke 1,Red,On the Ear,Yes,"1 Headphone, Charging Cable, User Manual,1 unit - AUX Cable",Bluetooth,Foldable Over the Head,
187,"PTron Bassbuds Xtreme, Gaming TWS Earbuds, 32hrs Playtime, Clear Calls, Pinch Control Bluetooth Headset  (Grey & Black, In the Ear)","₹4,599","₹1,299",Bassbuds Xtreme,Grey & Black,In the Ear,Yes,"1 Pair of Earbuds with Charging Case, Charging Cable, User Guide QR Card and 2 Pair of Extra Eartips",Bluetooth,Earbud,
188,"Skullcandy Jib Headset with mic  (White, In the Ear)",₹999,₹799,S2DUYK-441 JIB,White,In the Ear,Yes,1 headset,Wired,Canalphone,
189,"(Refurbished) Ptron Twinspro Bluetooth Headset with Mic  (Black, In the Ear)",NaN,NaN,Twinspro,Black,In the Ear,No,1 Headphone,Bluetooth,,
190,"PTron Bassbuds Epic, 40ms Gaming TWS Earbuds, 35hrs Playtime, ENC Calls, Touch Control Bluetooth Headset  (Black, In the Ear)","₹3,199","₹1,299",Bassbuds Epic,Black,In the Ear,Yes,"1 Pair of Earbuds with Charging Case, Charging Cable, User Guide QR Card and 2 Pair of Extra Eartips",Bluetooth,Earbud,
191,"Boult Audio AirBass Z40 with ZEN ENC Mic, 60H Playtime, Low Latency Bluetooth Headset  (Brown, In the Ear)","₹4,999","₹1,499",Airbass Z40,Brown,In the Ear,Yes,"1 Pair of Earbuds with Charging Case, Extra Pair of Eartips, Charging Cable, User Manual, Warranty Card",Bluetooth,Earbud,
192,"Noise Buds VS304 with 35 Hours Playtime, Instacharge, 13mm Driver, and Half in-ear Bluetooth Headset  (Pearl White, True Wireless)","₹2,999","₹1,099",Buds VS304,Pearl White,True Wireless,Yes,"1 Pair of Earbud with Charging Case, Charging Cable, User Manual, Warranty Registration Card",Bluetooth,Earbud,
193,"ZEBRONICS Zeb-Buds C2 Wired Headset  (Red, In the Ear)",₹699,₹573,Zeb-Buds C2,Red,In the Ear,Yes,1 unit earphone,Wired,Earbud,
194,"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs Playtime, Ultra-Fast Charging Bluetooth Headset  (Red, In the Ear)","₹4,499",₹799,ProBass EQCharge,Red,In the Ear,Yes,"1 Neckband, Extra Pair of Eartips, Charging Cable, User Manual",Bluetooth,Behind the Neck,
195,"boAt Rockerz 510 Super Extra Bass Bluetooth Headset  (Viper Green, On the Ear)","₹3,490","₹1,199",Rockerz 510 / Rockerz 518,Viper Green,On the Ear,Yes,"Rockerz 510, Charging Cable, User Manual, Warranty Card",Bluetooth,,
196,"boAt Rockerz 235 Pro with upto 20 Hours Playback and ASAP Charge Bluetooth Headset  (Ash Grey, In the Ear)","₹2,490",₹999,Rockerz 235 Pro,Ash Grey,In the Ear,Yes,"1 Neckband, Additional Earbuds, Charging Cable, User Manual, Warranty Card",Bluetooth,Earbud,
197,"Noise Air Buds Mini with 15 Hours Playtime, Tru Bass Technology, and HyperSync Bluetooth Headset  (Jet Black, True Wireless)","₹2,999",₹999,Air Buds Mini Truly Wireless,Jet Black,True Wireless,No,"1N Bluetooth Headphone, 1N Charging Case, 1N Type C Charging Cable, 1N User Manual, 1N Warranty Registration Card, 1N Reset Card",Bluetooth,Earbud,
198,"PTron Basspods P251+, 50Hrs Playback, 12mm Driver, ENC, Movie Mode Bluetooth Headset  (Black, True Wireless)","₹3,999",₹999,Basspods P251+,Black,True Wireless,Yes,"Basspods P11 Earbuds, Charging Case, Additional Earbuds, Charging Cable, User Guide Card",Bluetooth,Earbud,"Charging Case, USB Charging Cable, User Manual"
199,"Wings Phantom 850 Wireless Earbuds, 50 hrsPlaytime, Quad ENC Mic & App Support Bluetooth Gaming Headset  (Black, In the Ear)","₹2,999","₹1,499",Phantom 850,Black,In the Ear,Yes,"1 Pair of Earbuds with Charging Case, Cable, Ear Cushions, User Manual",Bluetooth,Earbud,
200,"Boult Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast Charging, Pro+ Calling, Type C, IPX5 Water Resistant, Bluetooth v5.1, Voice Assistant Bluetooth Headset  (Black, True Wireless)","₹5,499","₹1,399",airbass y1 wireless earphones,Black,True Wireless,Yes,"1 Charging Case, 2 True Wireless Earbuds, 2 Extra Earbuds, Charging Cable, Instruction Manual",Bluetooth,Earbud,
201,"Noise Buds VS204 with 50 Hours Playtime, Instacharge, ESR, 10mm Driver, and HyperSync Bluetooth Headset  (Snow White, True Wireless)","₹3,999","₹1,599",Buds�VS204,Snow White,True Wireless,Yes,"1 Pair of Earbuds with Charging Case, Charging Cable, User Manual, Warranty Registration Card",Bluetooth,Earbud,
202,"Boult Audio Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On Bluetooth Headset  (White, True Wireless)","₹4,999","₹1,599","Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On",White,True Wireless,No,"1 Pair of Earbuds, Charging Case, Extra Pair of Eartips, Charging Cable, User Manual, Warranty Card",Bluetooth,Earbud,
203,"ZEBRONICS ZEB-YOGA N1 Wireless Earphones with ENC, Gaming Mode, up to 20H playback. Bluetooth Gaming Headset  (Blue, In the Ear)","₹2,999","₹1,099","ZEB-YOGA N1 Wireless Earphones with ENC, Gaming Mode, up to 20H playback.",Blue,In the Ear,Yes,"Neckband - 1 unit, Eartips - 4 units, Charging cable - 1 unit, QR Code Guide - 1 unit",Bluetooth,Behind the Neck,
204,"boAt Rockerz 333ANC with Crystal Bionic Sound,13mm Drivers &Active Noise Cancellation Bluetooth Headset  (Stellar Black, In the Ear)","₹4,990","₹1,999",Rockerz 333ANC,Stellar Black,In the Ear,Yes,"1 Headphone, Additional Earbuds, Charging Cable, User Manual, Warranty Card",Bluetooth,Behind the Neck,
205,"Noise Buds VS102 with 14 Hours Playtime, 11mm Driver, IPX5, and Unique Flybird Design Bluetooth Headset  (Jet Black, True Wireless)","₹2,999","₹1,099",Buds VS102 Truly Wireless,Jet Black,True Wireless,No,"1N Bluetooth Headphone, 1N Charging Case, 1N Charging Cable, 1N User Manual, 1N Warranty Registration Card",Bluetooth,Earbud,
206,"Skullcandy Dime 2 Bluetooth Headset  (Blue, Green, True Wireless)","₹7,999","₹2,699",S2DBW-P750,"Blue, Green",True Wireless,No,"1 Pair Earbuds, Charging Case, USB Charging Cable, User Manual Guide",Bluetooth,Earbud,
207,"PTron Bassbuds Verse TWS Earbuds, 40H Playtime, ENC Calls, Deep Bass, BT5.3,TypeC,IPX4 Bluetooth Headset  (Grey, In the Ear)","₹4,599",₹999,Bassbuds Verse,Grey,In the Ear,Yes,"1 Pair of Earbuds with Charging Case, Charging Cable, User Guide Card, 2 Pairs Extra Eartips",Bluetooth,Earbud,
208,"Skullcandy Dime Truly wireless in Ear Earbuds with microphone Bluetooth Headset  (Orange, True Wireless)","₹7,499","₹2,499",S2DMW-P754,Orange,True Wireless,Yes,"Dime True Wireless Earbuds, Charging Case, Ear Gels (S, M, L), Micro- USB Charging Cable, User Guide",Bluetooth,Earbud,
209,"Noise Nerve Neckband with 25 Hours of Playtime, 10mm Driver, Instacharge, and IPX5 Bluetooth Headset  (Mist Grey, In the Ear)","₹2,499",₹899,Nerve Neckband,Mist Grey,In the Ear,Yes,"1x Bluetooth Neckband, 1x Charging Cable, 2x Extra Eartips, 1x User Manual",Bluetooth,Behind the Neck,
210,"Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset  (White, True Wireless)","₹4,999",₹999,Xpods Wireless Earphones,White,True Wireless,Yes,"1 Pair of Earphones, Charging case, Pair of ear buds, Type-C charging cable, User Manual",Bluetooth,Earbud,
211,"PTron Soundster Arcade Gaming Wired Headphones with Adjustable HD Mic, Hi-Fi Stereo Sound, Ergonomic Headset with Volume Control, 3.5mm Aux and 1.3 Meter Long Tangle-free Cable Wired Gaming Headset  (Black, On the Ear)","₹1,299",₹699,Soundster Arcade,Black,On the Ear,Yes,1,Wired,Over the Head,
212,"Noise Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync Bluetooth Headset  (Forest Green, True Wireless)","₹3,999","₹1,499","Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",Forest Green,True Wireless,No,"1 Pair of Earbuds with Charging Case, Charging Cable, User Manual, Warranty Registration Card",Bluetooth,Earbud,
213,"Skullcandy Jib Plus Wireless Bluetooth Headset  (Pure Mint, In the Ear)","₹2,499","₹1,499",Jib Plus Wireless,Pure Mint,In the Ear,Yes,1 Headphone,Bluetooth,Earbud,
214,"Portronics POR-1071 Conch Beta Wired Headset  (Black, In the Ear)",₹599,₹418,"CONCH BETA, POR 1071",Black,In the Ear,No,1 Earphone,Wired,,
215,"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs Playtime, Ultra-Fast Charging Bluetooth Headset  (Blue, In the Ear)","₹4,499",₹799,ProBass EQCharge,Blue,In the Ear,Yes,"1 Neckband, Extra Pair of Eartips, Charging Cable, User Manual",Bluetooth,Behind the Neck,
216,"Boult Audio ProBass Curve Neckband Bluetooth Headset  (Blue, Black, Grey, In the Ear)","₹3,499",₹899,Curve Wireless Neckband Magnetic Earphone With Mic,"Blue, Black, Grey",In the Ear,Yes,"1 Earphone, 2 Extra Pair of Earbuds, Charging Micro USB Cable, User Manual",Bluetooth,,
217,"Portronics POR-1156 Harmonics 224 Bluetooth Headset  (Black, In the Ear)","₹1,499",₹799,POR-1156 Harmonics 224,Black,In the Ear,Yes,"1N headphone, Charging Cable, User Manual",Bluetooth,Behind the Neck,
218,"boAt Rockerz 235 Pro with upto 20 Hours Playback and ASAP Charge Bluetooth Headset  (Furious Blue, In the Ear)","₹1,990","₹1,299",Rockerz 235 Pro,Furious Blue,In the Ear,Yes,"1 Neckband, Additional Earbuds, Charging Cable, User Manual, Warranty Card",Bluetooth,Earbud,
219,"Boult Audio ProBass XCharge with Zen Tech ENC mic 20H Playtime, Ultra-Fast Charging Bluetooth Headset  (Red, In the Ear)","₹4,999","₹1,099",ProBassXcharge Red,Red,In the Ear,Yes,"1 Earphone, 2 Extra Pair of Earbuds, Charging Micro USB Cable, User Manual",Bluetooth,Behind the Neck,
220,"ZEBRONICS ZEB-CALYX Wired Headset  (White, In the Ear)",₹399,₹299,ZEB-CALYX,White,In the Ear,Yes,1,Wired,Canalphone,Pouch
221,"ZEBRONICS Zeb-Buds C2 Wired Headset  (Blue, In the Ear)",₹699,₹599,Zeb-Buds C2,Blue,In the Ear,Yes,1 unit Earphone,Wired,Canalphone,
222,"Boult Audio ProBass XCharge with Zen Tech ENC mic 20H Playtime, Ultra-Fast Charging Bluetooth Headset  (Teal Blue, In the Ear)","₹4,999",₹999,ProBass XCharge,Teal Blue,In the Ear,Yes,"1 Headphone, Extra Pair of Eartips, Charging Cable, User Manual",Bluetooth,Behind the Neck,
223,"ZEBRONICS ZEB-BRO Headset with Mic Wired Headset  (White, In the Ear)",₹399,₹299,ZEB-BRO Headset with Mic,White,In the Ear,No,1 pair of headphone,Wired,,
224,"Noise Nerve Pro with upto 35hrs of playtime, ESR, Instacharge and Bluetooth v5.2 Bluetooth Headset  (Jet Black, In the Ear)","₹2,799","₹1,199",Nerve Pro Neckband,Jet Black,In the Ear,Yes,"1 Neckband, Charging Cable, User Manual 2 Extra Eartips",Bluetooth,Behind the Neck,
225,"PTron Tangent Beat Bluetooth Headset  (Green, In the Ear)","₹2,499","₹1,399",Tangent Beat,Green,In the Ear,Yes,"1 Neck band, user manual ,warranty card",Bluetooth,Behind the Neck,
226,"Skullcandy CrusherEvo Bluetooth Headset  (Chill Grey, On the Ear)","₹27,999","₹16,203",CrusherEvo,Chill Grey,On the Ear,Yes,"Crusher Evo Wireless Headphone, USB-C Charging Cable, User Manual, Backup AUX Cable, Protective Travel Bag",Bluetooth,Over the Head,"USB Charging Cable, Pouch"
227,"Noise Buds VS102 with 14 Hours Playtime, 11mm Driver, IPX5, and Unique Flybird Design Bluetooth Headset  (Jet Black, True Wireless)","₹2,999","₹1,099",Buds VS102 Truly Wireless,Jet Black,True Wireless,No,"1N Bluetooth Headphone, 1N Charging Case, 1N Charging Cable, 1N User Manual, 1N Warranty Registration Card",Bluetooth,Earbud,
228,"Noise Buds VS204 with 50 Hours Playtime, Instacharge, ESR, 10mm Driver, and HyperSync Bluetooth Headset  (Jet Black, True Wireless)","₹3,999","₹1,599",Buds�VS204,Jet Black,True Wireless,Yes,"1 Pair of Earbuds with Charging Case, Charging Cable, User Manual, Warranty Registration Card",Bluetooth,Earbud,
229,"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,ASAP Charge & Quad Mic ENx Bluetooth Headset  (Royal Blue, In the Ear)","₹2,990","₹1,299",Airdopes 131 Pro,Royal Blue,In the Ear,No,"1 Pair of Earbuds with Charging Case, Additional Earbuds, Charging Cable, User Manual, Warranty Card",Bluetooth,Earbud,
230,"boAt Rockerz 255F Pro with Fast Charging Bluetooth Headset  (Navy Blue, In the Ear)","₹3,499","₹1,381",Rockerz 255F Pro / Rockerz 255 Pro,Navy Blue,In the Ear,Yes,"Rockerz 255F Pro, Additional Eabuds, Charging Cable, User Manual, Warranty Card",Bluetooth,Behind the Neck,
231,"Skullcandy Dime 2 Bluetooth Headset  (Black, True Wireless)","₹7,999","₹2,619",S2DBW-P740,Black,True Wireless,No,"1 Pair Earbuds, Charging Case, USB Charging Cable, User Manual Guide",Bluetooth,Earbud,
232,"Boult Audio AirBass Z40 with ZEN ENC Mic, 60H Playtime, Low Latency Bluetooth Headset  (White, In the Ear)","₹4,999","₹1,499",Airbass Z40,White,In the Ear,Yes,"1 Pair of Earbuds with Charging Case, Extra Pair of Eartips, Charging Cable, User Manual, Warranty Card",Bluetooth,Earbud,
233,"PTron Bassbud Bluetooth Gaming Headset  (Black, True Wireless)","₹3,699","₹1,499",Bassbud,Black,True Wireless,Yes,"1 Earbud , User manual ,Warranty card, USB Cable",Bluetooth,Earbud,"Charging Case, Additional Earmuffs/Eartips, USB Charging Cable"
234,"Portronics Muffs M1 Wireless with Long Playtime Bluetooth Headset  (Black, On the Ear)","₹2,499","₹1,699",Muffs M1 Wireless with Long Playtime,Black,On the Ear,No,"Headphone 1N, Charging Cable 1N, Aux Cable 1N",Bluetooth,Over the Head,USB Charging Cable
235,"Wings Phantom 760 Wireless Earphones with Low Latency, Bullet ChargeTM & App Support Bluetooth Gaming Headset  (Black, In the Ear)","₹2,999","₹1,399",Phantom 760,Black,In the Ear,Yes,"1 Pair of Earbuds with Charging Case, Cable, Ear Cushions, User Manual",Bluetooth,Earbud,
236,"ZEBRONICS Zeb-Iron Head Wired Gaming Headset  (Black, On the Ear)","₹2,799","₹1,049",Zeb-Iron Head,Black,On the Ear,No,"1 Headphone, User Manual",Wired,Over the Head,
237,"Skullcandy Indy Evo True Bluetooth Headset  (Pure mint, True Wireless)","₹12,999","₹5,899",Indy Evo True,Pure mint,True Wireless,Yes,"Earbuds, USB Charging Cable, User Manual",Bluetooth,Earbud,
238,"Boult Audio ProBass XCharge with Zen Tech ENC mic 20H Playtime, Ultra-Fast Charging Bluetooth Headset  (Teal Blue, In the Ear)","₹4,999",₹999,ProBass XCharge,Teal Blue,In the Ear,Yes,"1 Headphone, Extra Pair of Eartips, Charging Cable, User Manual",Bluetooth,Behind the Neck,
239,"Skullcandy Jib Plus Wireless Bluetooth Headset  (Electric Yellow, In the Ear)","₹2,499","₹1,499",Jib Plus Wireless,Electric Yellow,In the Ear,Yes,"1 Earphone, 1 USB Charging Cable",Bluetooth,Earbud,
240,"PTron Basspods P681 TWS Earbuds, 28H Playtime, ENC Calls, Deep Bass, BT5.3, TypeC,IPX4 Bluetooth Headset  (Black, In the Ear)","₹3,199",₹999,Basspods P681,Black,In the Ear,Yes,"1 Pair of Earbuds with Charging Case, Charging Cable, User Guide Card",Bluetooth,Earbud,
241,"ZEBRONICS ZEB-PARADISE Bluetooth Headset  (Green, True Wireless)","₹1,199",₹999,ZEB-PARADISE,Green,True Wireless,Yes,"I Unit: Headphone, I Unit: Charging cable, I Unit: Aux cable, I Unit: User Manual",Bluetooth,,
242,"boAt Bassheads 103 Wired Headset  (Mint Green, In the Ear)","₹1,290",₹499,Bassheads 103,Mint Green,In the Ear,Yes,"1 Earphone, Warranty Card, Additional Buds",Wired,Earbud,
243,"boAt Rockerz 333 Upto 30 Hours Battery Bluetooth Headset  (Teal Green, In the Ear)","₹2,490","₹1,599",Rockerz 333 with ASAP Charge and upto 30 Hours Playback,Teal Green,In the Ear,Yes,"1 Headphone, Additional Earbuds, Type-C Charging Cable, User Manual, Warranty Card",Bluetooth,Behind the Neck,
244,"Skullcandy Jib Plus Wireless Bluetooth Headset  (Blue, In the Ear)","₹2,499","₹1,499",S2JPW-M101,Blue,In the Ear,Yes,"User Guide, Earphone, USB Cable",Bluetooth,,
245,"Noise Air Buds 2 with 40 Hours Playtime, 13mm Driver, Quad Mic with ENC, & Instacharge Bluetooth Headset  (Black, True Wireless)","₹4,999","₹1,899",Airbuds 2,Black,True Wireless,No,"1 Pair Earbuds, Charging Case, Charging Cable, User Manual, Warranty Card",Bluetooth,Earbud,
246,"Boult Audio ProBass Curve Neckband Bluetooth Headset  (Black, Grey, In the Ear)","₹3,499",₹899,Curve Wireless Neckband Magnetic Earphone With Mic,"Black, Grey",In the Ear,Yes,"1 Earphone, 2 Extra Pair of Earbuds, Charging Micro USB Cable, User Manual",Bluetooth,,
247,"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,ASAP Charge & Quad Mic ENx Bluetooth Headset  (Active Black, Dark Grey, In the Ear)","₹2,990","₹1,299",Airdopes 131 Pro,"Active Black, Dark Grey",In the Ear,No,"1 Pair of Earbuds with Charging Case, Additional Earbuds, Charging Cable, User Manual, Warranty Card",Bluetooth,Earbud,
248,"Portronics Conch 202,POR 615 Wired Headset  (White, In the Ear)",NaN,₹699,"Conch 202,POR 615",White,In the Ear,Yes,Earphone,Wired,Flatwire,
249,"Portronics POR-004 Muffs R Bluetooth Headset  (Black, On the Ear)","₹3,999","₹2,363",POR-004 Muffs R,Black,On the Ear,No,"Documentation 1N, Charging cable 1N, Aux cable IN",Bluetooth,Foldable Over the Head,
250,"ZEBRONICS Evolve Bluetooth Headset  (Grey, Black, In the Ear)","₹1,499",₹499,Evolve ?Wireless ?in Ear? ?Neckband Earphone? ? (Gray),"Grey, Black",In the Ear,Yes,"1 unit Neckband, 1 user manual, 1 unit charger",Bluetooth,Behind the Neck,
251,"Portronics Ear 1 Wired Headset  (Black, In the Ear)",₹599,₹339,Ear 1,Black,In the Ear,Yes,1N Earphone,Wired,Earbud,
252,"Noise Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync Bluetooth Headset  (Jet Black, True Wireless)","₹3,999","₹1,499","Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",Jet Black,True Wireless,No,"1 Pair of Earbuds with Charging Case, Charging Cable, User Manual, Warranty Registration Card",Bluetooth,Earbud,
253,"boAt Rockerz 255 Pro+ with ASAP Charge and upto 40 Hours Playback Bluetooth Headset  (Active Black, In the Ear)","₹3,990","₹1,299",Rockerz 255 Pro+/Rockerz 258 Pro+ with ASAP Charge and upto 40 Hours Playback,Active Black,In the Ear,Yes,"1 Headphone, Type-C Charging Cable, Additional Earbuds, User Manual, Warranty Card",Bluetooth,Magnetized Buds,
254,"Noise Air Buds 2 with 40 Hours Playtime, 13mm Driver, Quad Mic with ENC, & Instacharge Bluetooth Headset  (White, True Wireless)","₹4,999","₹1,899",Airbuds 2,White,True Wireless,No,"1 Pair Earbuds, Charging Case, Charging Cable, User Manual, Warranty Card",Bluetooth,Earbud,
255,"Skullcandy Dime 2 Bluetooth Headset  (Blue, Grey, True Wireless)","₹7,999","₹2,699",S2DBW-P751,"Blue, Grey",True Wireless,No,"1 Pair Earbuds, Charging Case, USB Charging Cable, User Manual Guide",Bluetooth,Earbud,
256,"Noise Air Buds Mini with 15 Hours Playtime, Tru Bass Technology, and HyperSync Bluetooth Headset  (Pearl White, True Wireless)","₹2,999",₹999,Air Buds Mini Truly Wireless,Pearl White,True Wireless,No,"1N Bluetooth Headphone, 1N Charging Case, 1N Type C Charging Cable, 1N User Manual, 1N Warranty Registration Card, 1N Reset Card",Bluetooth,Earbud,
257,"boAt Rockerz 450 Pro with Upto 70 Hours Playback Bluetooth Headset  (Luscious Black, On the Ear)","₹3,990","₹1,999",Rockerz 450 Pro with Upto 70 Hours Playback,Luscious Black,On the Ear,No,"1 Headphone, Type-C Charging Cable, Aux Cable, User Manual, Warranty Card",Bluetooth,Over the Head,
258,"PTron Bassbuds Xtreme, Gaming TWS Earbuds, 32hrs Playtime, Clear Calls, Pinch Control Bluetooth Headset  (Blue & Black, In the Ear)","₹4,599","₹1,299",Bassbuds Xtreme,Blue & Black,In the Ear,Yes,"1 Pair of Earbuds with Charging Case, Charging Cable, User Guide QR Card and 2 Pair of Extra Eartips",Bluetooth,Earbud,
259,"Boult Audio ProBass XCharge with Zen Tech ENC mic 20H Playtime, Ultra-Fast Charging Bluetooth Headset  (Red, In the Ear)","₹4,999","₹1,099",ProBassXcharge Red,Red,In the Ear,Yes,"1 Earphone, 2 Extra Pair of Earbuds, Charging Micro USB Cable, User Manual",Bluetooth,Behind the Neck,
260,"PTron Bassbud Jade Bluetooth Gaming Headset  (Black, True Wireless)","₹3,699","₹1,349",Bassbud Jade,Black,True Wireless,Yes,"1 Earbud , User Manual , Warranty Card , USB Cable",Bluetooth,Earbud,"Charging Case, USB Charging Cable, User Manual, Additional Earmuffs/Eartips"
261,"Noise Tune Active Pro with upto 60hrs playtime, ESR, Instacharge and Bluetooth V5.2 Bluetooth Headset  (Jet Black, In the Ear)","₹2,999","₹1,199",Tune Active Pro Neckband,Jet Black,In the Ear,Yes,"1 Headphone, Charging Cable, User Manual, 2 Extra Ear-tips",Bluetooth,Behind the Neck,
262,"PTron Basspods P681 TWS Earbuds, 28H Playtime, ENC Calls, Deep Bass, BT5.3, TypeC,IPX4 Bluetooth Headset  (Black, In the Ear)","₹3,199",₹999,Basspods P681,Black,In the Ear,Yes,"1 Pair of Earbuds with Charging Case, Charging Cable, User Guide Card",Bluetooth,Earbud,
263,"Skullcandy Dime Truly wireless in Ear Earbuds with microphone Bluetooth Headset  (Golden Red, True Wireless)","₹7,499","₹2,685",S2DMW-P752,Golden Red,True Wireless,Yes,"Dime True Wireless Earbuds, Charging Case, Ear Gels (S, M, L) Micro- USB Charging Cable, User Guide",Bluetooth,Earbud,"USB Charging Cable, Charging Case"
264,"boAt Rockerz 333 Upto 30 Hours Battery Bluetooth Headset  (Cherry Black, In the Ear)","₹2,490","₹1,599",Rockerz 333 with ASAP Charge and upto 30 Hours Playback,Cherry Black,In the Ear,Yes,"1 Headphone, Additional Earbuds, Type-C Charging Cable, User Manual, Warranty Card",Bluetooth,Behind the Neck,
265,"Skullcandy CrusherEvo Bluetooth Headset  (Chill Grey, On the Ear)","₹27,999","₹16,203",CrusherEvo,Chill Grey,On the Ear,Yes,"Crusher Evo Wireless Headphone, USB-C Charging Cable, User Manual, Backup AUX Cable, Protective Travel Bag",Bluetooth,Over the Head,"USB Charging Cable, Pouch"
266,"PTron InTunes Ultima With Mega Bass Bluetooth Headset  (Black, Grey, In the Ear)","₹2,699",₹999,InTunes Ultima,"Black, Grey",In the Ear,Yes,1 Headphone,Bluetooth,Behind the Neck,
267,"Wings Phantom 250 Gaming TWS Earbuds with 40ms Low Latency, 30 hours playtime Bluetooth Gaming Headset  (Blue, In the Ear)","₹2,999",₹999,"Phantom 250 Gaming TWS Earbuds with 40ms Low Latency, 30 hours playtime",Blue,In the Ear,No,"1 Pair of Earbuds, Cable, Extra Ear Tips, Charging Case, User Manual",Bluetooth,Earbud,
268,"Skullcandy Ink'd Plus Wired Headset  (Black, In the Ear)","₹1,765","₹1,072",S2IMY-M448,Black,In the Ear,Yes,"Earphone, User Guide",Wired,Canalphone,User Manual
269,"Skullcandy JIB True Wireless Bluetooth Headset  (Black Orange, True Wireless)","₹8,999","₹2,931",Jib TWS,Black Orange,True Wireless,Yes,"Jib True Wireless Earbuds, USB-C Charging Cable, User Manual Guide, Charging Case, Ear Gels (S, M, L)",Bluetooth,Earbud,"Charging Case, USB Charging Cable"
270,"Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset  (Black, True Wireless)","₹4,999",₹999,XPods,Black,True Wireless,Yes,"1 Pair of Earphones, Charging case, Pair of ear buds, Type-C charging cable, User Manual",Bluetooth,Earbud,
