,Title,Actual_Price,Selling_Price,Model Name,Color,Headphone Type,Inline Remote,Sales Package,Connectivity,Headphone Design,Accessories Included
121,"PTron InTunes Ultima With Mega Bass Bluetooth Headset  (Black, Grey, In the Ear)","₹2,699",₹999,InTunes Ultima,"Black, Grey",In the Ear,Yes,1 Headphone,Bluetooth,Behind the Neck,
122,"Wings Phantom 850 Wireless Earbuds, 50 hrsPlaytime, Quad ENC Mic & App Support Bluetooth Gaming Headset  (White, In the Ear)","₹2,999","₹1,499",Phantom 850,White,In the Ear,Yes,"1 Pair of Earbuds with Charging Case, Cable, Ear Cushions, User Manual",Bluetooth,Earbud,
123,"PTron Pride Lite HBE in-Ear Wired Headphones ( Blue ) Wired Headset  (Blue, In the Ear)",₹849,₹399,Pride Lite HBE in-Ear Wired Headphones ( Blue ),Blue,In the Ear,Yes,1 Earphone,Wired,Earbud,Additional Earmuffs/Eartips
124,"Wings Vader 200 Wired Gaming Headset  (Black, On the Ear)","₹2,199","₹1,299",Vader 200,Black,On the Ear,Yes,"1 Headphone, Warranty Card, User Manual",Wired,Over the Head,
125,"Skullcandy Ink'd Plus Wired Headset  (Black, In the Ear)","₹1,765","₹1,072",S2IMY-M448,Black,In the Ear,Yes,"Earphone, User Guide",Wired,Canalphone,User Manual
126,"Wings Bass Drops 101 with Environmental Noise Cancellation, 30 hours Playtime Bluetooth Headset  (White, True Wireless)","₹2,999","₹1,399",Bass Drops 101,White,True Wireless,No,"1 Pair Earbuds, Charging Case, Warranty Card, User Manual, Type-C Charging Cable, 2 Extra Pairs of Ear Tips",Bluetooth,Earbud,
127,"Skullcandy Crusher Evo Bluetooth Headset  (Black, On the Ear)","₹27,999","₹16,299",Crusher Evo,Black,On the Ear,Yes,"Crusher Evo Wireless Headphone, USB-C Charging Cable, Backup AUX Cable, Protective Travel Bag, User Guide",Bluetooth,Over the Head,"USB Charging Cable, Pouch"
128,"PTron Bassbuds Verse TWS Earbuds, 40H Playtime, ENC Calls, Deep Bass, BT5.3,TypeC,IPX4 Bluetooth Headset  (Grey, In the Ear)","₹4,599",₹999,Bassbuds Verse,Grey,In the Ear,Yes,"1 Pair of Earbuds with Charging Case, Charging Cable, User Guide Card, 2 Pairs Extra Eartips",Bluetooth,Earbud,
129,"boAt Airdopes Atom 83 with 50Hrs Playback, Quad Mics ENx Technology & Beast Mode Bluetooth Headset  (Carbon Black, True Wireless)","₹4,490","₹1,499",Airdopes Atom 83,Carbon Black,True Wireless,No,"1 Pair Earbuds, Additional Eartips, Charging Cable, User Manual, Warranty Card",Bluetooth,Earbud,
130,"boAt Airdopes 163 Bluetooth Headset  (Active Black, True Wireless)","₹2,490","₹1,399",AIRDOPES 163,Active Black,True Wireless,No,"1 Pair of Earbuds, User Manual, Warranty Card, Additional Ear Tips, Charging Cable, Charging Case",Bluetooth,Earbud,
