,Title,Actual_Price,Selling_Price,Brand,Model Name,Colour,Headphones Form Factor,Connector Type,Form Factor,Connectivity technologies,Wireless Communication Technology,Cable Type,Compatible Device,Special Feature,Style,Connectivity Technology,Wireless communication technologies,Age Range (Description),Connectivity Type,Mounting Hardware,Series,Compatible Devices,Specific Uses For Product,Material,Fabric Type,Weight,Size,Item Dimensions LxWxH,Number of Batteries
392,"ZEBRONICS Zeb-Thunder Bluetooth Wireless Over Ear Headphone FM (Black) & Zeb-Sound Bomb 1 TWS Earbuds with BT5.0, Up to 12H Playback(Black) & Zeb-Bang Wireless Bluetooth On The Ear Headphone",NaN,,ZEBRONICS,,Black,"Over Ear, On Ear",Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
393,Meyaar Rplus 2208 Deep Bass Wired Durable Metal Earphones Headphones with Microphone in Ear Earbuds Noise Isolating Earphones Remote & Mic Headset Stereo Headphones for Android & iOS- White,₹799,109,Meyaar,,Metal Black,In Ear,wired usb,,,,,,,,,,,,,,,,,,,,,
394,ZEBRONICS Wire Less Ear Buds Zeb Sound Bomb 6,"₹2,999","1,099",ZEBRONICS,ZEB SOUND BOMB 6,RED,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
395,"boAt Rockerz 450 Captain America Edition 15 Hours Battery, 40mm Drivers, Padded Ear Cushions, Easy Access Controls and Voice Assistant Bluetooth Wireless On Ear Headphones with Mic and (Soldier Blue)","₹3,990","1,799",boAt,boAt rockerz 450,Soldier's Blue,On Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
396,(Renewed) Boat Super Bass Rockerz 400 Bluetooth On-Ear Headphones with Mic (Grey/Green),NaN,NaN,boAt,,Grey/Green,On Ear,Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
397,(Renewed) boAT Airdopes 381 Bluetooth Truly Wireless In Ear Earbuds With Mic Spirit Lime,NaN,,boAt,Boat Airdopes 381-cr,Lime,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
398,ZEBRONICS Zeb-Bang Wireless Bluetooth On The Ear Headphone with Mic and Playback time 16 hrs (Black),"₹1,799","1,199",ZEBRONICS,Zeb-Bang,Black,On Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
399,Skullcandy Sesh Evo Truly Wireless Bluetooth in Ear Earbuds with Mic (Pure Mint),"₹9,999","3,890",Skullcandy,Sesh Evo,Pure Mint,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
400,"(Renewed) boAt Rockerz 245v2 Wireless Bluetooth V5.0, 8 Hours Playback Time, IPX5 Sweat and Water Resistance, in-Built mic and Voice Assistant(Teal Green)",NaN,NaN,boAt,Rockerz 245v2,Teal Green,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
401,"pTron Bassbuds Wave ENC Bluetooth 5.3 Truly Wireless in Ear Earbuds, 40Hrs Total Playtime, Movie Mode & Deep Bass, Low Latency, Stereo Calls, Snug-fit, Smooth Touch Control & Type-C Charging (Blue)","₹4,599","1,099",PTron,Bassbuds,Blue,,,In Ear,Wireless,,,,,,,,,,,,,,,,,,,
402,"Wings Elevate, Smooth Silicon Neckband, Bluetooth 5.0 Wireless in Ear Earphones with Mic, Dual Pairing, Extra Heavy Bass Headphones Earbuds, 10 Hours Playtime (Teal)","₹3,999","1,146",Wings,Wings Elevate,Teal,,,In Ear,Wireless,,,,,,,,,,,,,,,,,,,
403,"pTron Tangent Duo Made in India Bluetooth 5.2 Wireless in-Ear Earphones with Mic, 24Hrs Playback, 13mm Drivers, Punchy Bass, Fast Charging Neckband, Voice Assistant, IPX4 & in-line Controls (Black)","₹1,899",499,PTron,Tangent,Black,In Ear,Bluetooth 5.2,,,,,,,,,,,,,,,,,,,,,
404,"Noise Newly Launched Bravo Bluetooth Neckband in Ear with Upto 35 Hours of Playtime, Instacharge (10-min Charge=10-hrs Playtime), ESR,10mm Driver, Dual Pairing and BT v5.2 (Cyan Blue)","₹2,799",999,Noise,Bravo,Cyan Blue,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
405,"boAt Airdopes 121v2 in-Ear True Wireless Earbuds with Upto 14 Hours Playback, 8MM Drivers, Battery Indicators, Lightweight Earbuds & Multifunction Controls (Active Black, with Mic)","₹2,990","1,299",boAt,Airdopes 140,Active Black,In Ear,Bluetooth 5.0,,,,,,,,,,,,,,,,,,,,,
