,Title,Actual_Price,Selling_Price,Brand,Model Name,Colour,Headphones Form Factor,Connector Type,Form Factor,Connectivity technologies,Wireless Communication Technology,Cable Type,Compatible Device,Special Feature,Style,Connectivity Technology,Wireless communication technologies,Age Range (Description),Connectivity Type,Mounting Hardware,Series,Compatible Devices,Specific Uses For Product,Material,Fabric Type,Weight,Size,Item Dimensions LxWxH,Number of Batteries
607,"boAt Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions, Integrated Controls and Dual Modes & Bassheads 152 in Ear Wired Earphones with Mic",NaN,NaN,boAt,,,On Ear,"Wireless, Wired",,,Bluetooth,,,"on-ear, collapsible",,,,,,,,,,,,,,,
608,"pTron Bassbuds Plus True Wireless Bluetooth 5.0 in Ear Earbuds with, Deep Bass, IPX4 Water/Sweat Resistant, Passive Noise Canceling, Up to 8Hrs Battery,Digital Display & with Mic(Blue & Black)","₹2,499",849,PTron,Bassbuds Plus,Blue & Black,In Ear,"Wireless, Bluetooth 5.0",,,,,,,,,,,,,,,,,,,,,
609,Meyaar M-11 Noise Isolating Wired in-Ear Earphone with Mic (Baby Pink + Neon + Dark Pink),₹999,359,Meyaar,M-11,Baby Pink + Neon + Dark Pink,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
610,Skullcandy Jib Plus Wireless in-Earphone with Mic (Blue) (S2JPW-M101),"₹4,599","1,499",Skullcandy,Jib Plus,Blue/Black,In Ear,"Wireless, Bluetooth 5.0",,,,,,,,,,,,,,,,,,,,,
611,"Portronics Muffs M1 Wireless Bluetooth Over Ear Headphone, Powerful Bass, Handsfree Calling, 3.5mm Aux in, Long Playtime(Green)","₹2,499","1,310",Portronics,Muffs M1,Green,Over Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
612,"Jabra Elite 7 ActiveTrue Wireless Earbuds — Bluetooth Sports Earbuds with Jabra Shake Grip for Secure in-Ear Fit — Ultimate Workout Earbuds, Adjustable Active Noise Cancellation, Fast Charging — Navy","₹21,999","12,999",Jabra,Elite 7 Active,Navy,In Ear,Bluetooth,,,,,,,,,,,,,,,,,,,,,
613,"Zebronics Zeb - Paradise Bluetooth Wireless On Ear Headphones With Mic Comes With 40Mm Drivers, Aux Connectivity, Built In Fm, Call Function, 15Hrs* Playback Time And Supports Micro Sd Card (Beige)","₹1,199",999,ZEBRONICS,,be,On Ear,"Wireless, Wired",,,Bluetooth,,,,,,,,,,,,,,,,,,
614,"Boult Audio ProBass X1-Air Bluetooth Wireless in Ear Earphones with Mic, Fast Charging, 10H Battery Life and Extra Bass, in-Built Mic, IPX5 Water Resistant (Red)","₹3,999",899,Boult Audio,ProBass X1 AIR,Red,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
615,Jabra Halo Free Wireless Bluetooth Stereo Earbuds,"₹9,670","6,764",Jabra,,,,,In Ear,Wireless,,,,earbud,,,Bluetooth,,,,,,,,,,,,
616,"boAt Airdopes 121v2 True Wireless Earbuds with Upto 14 Hours Playback & Rockerz 370 On Ear Bluetooth Headphones with Upto 12 Hours Playtime,Cozy Padded Earcups and Bluetooth v5.0",NaN,,boAt,,Red,On Ear,Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
617,"Jabra Elite 3 in Ear Wireless Bluetooth Earbuds – Noise Isolating True Wireless Buds with 4 Built-in Microphones for Clear Calls, Rich Bass, Customizable Sound, and Mono Mode - Navy","₹21,320","15,313",Jabra,Elite 3,Navy,In Ear,Bluetooth,,,,,,,,,,,,,,,,,,,,,
618,(Renewed) boAt Rockerz Bluetooth Wireless Over Ear Headphones with Mic (Raging Red),NaN,,boAt,Rockerz,Raging Red,Over Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
619,boAt Bassheads 102 in Ear Wired Earphones with Mic(Charcoal Black),"₹1,290",449,boAt,Bassheads,Charcoal Black,In Ear,3.5 mm Jack,,,,,,,,,,,,,,,,,,,,,
620,"ZEBRONICS Zeb-Yoga 90 Pro Wireless Bluetooth in Ear Neckband Earphone with Rapid Charge,Dual Pairing,Magnetic earpiece,Splash Proof,Type C Charging with Mic (Grey)","₹2,999",699,ZEBRONICS,Zebronics Zeb Yoga 90 Pro,Gray,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
621,"Zebronics Zeb-Lark Wireless in Ear Neckband Earphone with BT 5.0, Rapid Fast Charging, Up to 17H Battery Life, Dual Pairing, Call Function, Splash Proof, Magnetic Earpiece (Orange)","₹1,499",795,ZEBRONICS,,Orange,In Ear,Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
622,Jabra Evolve2 65 UC Wireless Bluetooth On Ear Headphone with Mic (Black),"₹52,870","34,625",Jabra,Evolve2 65,Black,On Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
623,"Portronics Muffs M1 Wireless Bluetooth Over Ear Headphone, Powerful Bass, Handsfree Calling, 3.5mm Aux in, Long Playtime(Red)","₹2,499","1,499",Portronics,Muffs M1,Red,Over Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
624,boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds (Pure White) & Rockerz 450 Bluetooth On Ear Headphones with Mic(Luscious Black) & Bassheads 100 in Ear Wired Earphones with Mic(Taffy Pink),NaN,"1,499",boAt,,"Pink, White, Black","In Ear, On Ear","Wireless, Wired",,,Bluetooth,,,,,,,,,,,,,,,,,,
625,Jabra Evolve 100-55910000-99 40 UC Stereo Wired Headset (Black),"₹13,376","9,750",Jabra,Evolve,Black,On Ear,Wired,,,,,,,,,,,,,,,,,,,,,
626,"pTron Bassbuds Tango ENC Bluetooth Truly Wireless in Ear Earbuds with mic, Movie Mode, 40Hrs Total Playtime, BT 5.1, Deep Bass, Touch Control & Type-C Fast Charging (Black)","₹3,999",999,PTron,Bassbuds,Active Black,,,In Ear,Wireless,,,,,,,,,,,,,,,,,,,
627,"Noise Buds Vs104 Bluetooth Truly Wireless in Ear Earbuds with Mic, 30-Hours of Playtime, Instacharge, 13Mm Driver and Hyper Sync (Charcoal Black)","₹3,499","1,499",Noise,Buds VS104,Charcoal Black,In Ear,Bluetooth 5.2,,,,,,,,,,,,,,,,,,,,,
628,"pTron Newly Launched Bassbuds Nyx in-Ear Wireless Headphone, Immersive Audio, BT5.1, Stereo Calls, 50ms Movie Mode, Touch Control TWS Earbuds, Digital Case, Type-C Fast Charging & IPX4 (White/Black)","₹3,999","1,399",PTron,Bassbuds,White & Black,,,In Ear,Wireless,,,,,,,,,,,,,,,,,,,
629,"boAt Rockerz 335 Bluetooth in Ear Neckband with Qualcomm aptX & CVC, Upto 30 Hours Playback, ASAP Charge, Signature Sound, IPX5 and BTv5.0(Yellow)","₹3,990","1,299",boAt,Rockerz 335,Yellow,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
630,"Logitech H390 Wired On Ear Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, In-Line Controls, Works with Chromebook","₹4,695","3,964",Logitech,H390 Headset,Black,On Ear,Wired,,,,,,,,,,,,,,,,,,,,,
631,"Jabra Elite 3 in Ear Bluetooth Truly Wireless Earbuds Noise Isolating with Mic for Clear Calls, Rich Bass, Customizable Sound, Mono Mode (Lilac)","₹6,999","4,499",Jabra,Elite 3,Lilac,,,In Ear,Bluetooth,,,,,,,,,,,,,,,,,,,
632,"boAt Airdopes 441 Pro Bluetooth Truly Wireless in Ear Earbuds with mic, Upto 150 Hours Playback, Signature Sound, IWP™ Technology, IPX7, BT v5.0, Type-c Interface (Sporty Blue)","₹6,990","2,999",boAt,Airdopes 441 Pro,Sporty Blue,In Ear,Bluetooth 5.0,,,,,,,,,,,,,,,,,,,,,
633,Meyaar M12 Edition Wired Durable Metal Earphones Earbuds with Microphone with Noise Isolating Earphones Earbuds with Remote & Mic Headset Stereo Headphones for Android & iOS Smartphones (Metal Black),₹999,259,Meyaar,,Metal Black,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
634,"(Renewed) boAt Rockerz 255 Pro+ Bluetooth in Ear Earphones with Upto 40 Hours Playback, ASAP Charge, IPX7, Dual Pairing and Bluetooth v5.0(Teal Green Indi)",NaN,,boAt,Rockerz 255 Pro+,"Green,Teal",In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
635,"Jabra Elite 85h Wireless Noise-Canceling Headphones, Gold Beige – Over Ear Bluetooth Headphones Compatible with iPhone and Android - Built-in Microphone, Long Battery Life - Rain and Water Resistant","₹98,997","67,806",Jabra,,"Gold, Beige",Over Ear,Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
636,Skullcandy MOD True Wireless Earbuds (Light Gray Blue) (S2FYW-P751),"₹16,999","5,999",Skullcandy,MOD,Black,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
637,"Boult Audio ProBass Curve-X Bluetooth Earphones with Fast Charging & 15H Battery Life, Extra Bass, IPX5 Water Resistant Headphones (Black)","₹4,499",999,Boult Audio,ProBass,Black,In Ear,Bluetooth 5.0,,,,,,,,,,,,,,,,,,,,,
638,"boAt Xtend Pro with Advanced Dedicated Bluetooth Calling Chip, Dial Pad & Rockerz 255 Pro+ in-Ear Bluetooth Neckband with Upto 40 Hours Playback, ASAP Charge, IPX7, Dual Pairing, BT v5.0, with Mic",NaN,"1,299",boAt,,Clear,,,In Ear,,,,,,,Wireless,,,Bluetooth,,,,,,,,,,
639,boAt Bassheads 152 in Ear Wired Earphones with Mic(Active Black),"₹1,290",499,boAt,Bassheads 152,Active Black,In Ear,3.5 mm Jack,,,,,,,,,,,,,,,,,,,,,
640,ZEBRONICS Wireless In Ear Earbuds Zeb Sound Bomb 6 (BLUE),"₹2,999","1,299",ZEBRONICS,ZEB SOUND BOMB 6,BLUE,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
641,boAt Bassheads 900 Wired On Ear Headphones with Mic (Pearl White) & Bassheads 102 in Ear Wired Earphones with Mic(Jazzy Blue),NaN,,boAt,,"White, Blue",On Ear,Wired,,,,,,on-ear,,,,,,,,,,,,,,,
642,"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Black)",₹399,149,ZEBRONICS,Zeb-Bro,Black,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
643,"Boult Audio Airbass Fx1 Bluetooth Truly Wireless in Ear Earbuds with Mic with 32H Total Playtime, Type-C Fast Charging, Touch Controls, Ipx5 Sweatproof and Voice Assistant (Black)","₹4,999","1,199",Boult Audio,AirBass,Black,In Ear,Bluetooth 5.0,,,,,,,,,,,,,,,,,,,,,
644,"Meyaar Beex Earbuds, Headphones with Microphone Pack of 3, Earbuds Wired, Stereo in-Ear Earphones, Compatible with Android Smartphones, MP3 Players, Fits 3.5mm Interface (3 Pack| 1 Black| 2 White)",₹999,379,Meyaar,Meyaar,Black & White,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
645,Meyaar SP-27 Wired in-Ear Earphone with Mic (Pack of 3) (2 White + 1 Black),₹999,349,Meyaar,SP-27(2 White + 1 Black),Black and White,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
646,"ZEBRONICS Zeb Yoga 90 Plus Wireless in-Ear Neckband Earphone Supporting Bluetooth 5.0, Dual Pairing,Type C Charging,10mm Drivers,Metallic Magnetic Earpiece,Call & Media Controls, Splash Proof(Green)","₹2,299",799,ZEBRONICS,ZEB-YOGA 90 PLUS - GREEN,Green,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
647,"boAt Airdopes 500Anc Bluetooth Truly Wireless in Ear Earbuds with Mic with 35Db Hybrid ANC, Detection for Gaming, Quad with Enx Tech, Upto 28 Hrs Playback, ASAP Charge, Ambient Mode(Tranquil White)","₹9,999","4,999",boAt,Airdopes 500ANC,Tranquil White,In Ear,Bluetooth,,,,,,,,,,,,,,,,,,,,,
648,"(Renewed) Skullcandy Dime True Wireless Earbuds with 12 Hours Total Battery, IPX4 Sweat and Water Resistant, Secure Noise Isolating Fit (Chill Grey)",NaN,,Skullcandy,Dime,Chill Grey,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
649,"boAt Rockerz 450 Pro Bluetooth On Ear Headphones with Mic with 70 Hours Battery, 40Mm Drivers, Bluetooth V5.0 Padded Ear Cushions, Easy Access Controls and Voice Assistant(Luscious Black)","₹3,990","1,999",boAt,Rockerz 450 Pro,Luscious Black,On Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
650,"ZEBRONICS Sound Bomb 7 Bluetooth TWS in Ear Earbuds with 40H Playtime, ENC Mic, Rapid Charge, Upto 50ms Gaming Mode, Flash Connect, Voice Assistant, Smooth Touch Control, BT v5.2, Type C (Blue)","₹4,299",999,ZEBRONICS,ZEB-SOUND BOMB 7 (BLUE),Blue,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
651,ZEBRONICS Zeb-Tulip Wired in Ear Earphone with Mic (White),₹459,149,ZEBRONICS,,White,In Ear,Wired,,,,,,with microphone,,,,,,,,,,,,,,,
652,"Portronics Conch 80 in Ear Wired Earphones with Mic, 10mm Dynamic Drivers, Extra Bass, Magnetic Latch, Nylon Braided Wire(Purple)",₹599,399,Portronics,Conch 80,Purple,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
653,Jabra Evolve 65E MS & Link 370,"₹73,568","45,960",Jabra,Jabra Evolve 65E MS & Link 370,,In Ear,bluetooth,,,Bluetooth,,,,,,,,,,,,,,,,,,
654,"boAt Rockerz 370 On Ear Bluetooth Headphones with Upto 12 Hours Playtime, Cozy Padded Earcups and Bluetooth v5.0(Fiery Red) & Bassheads 100 in Ear Wired Earphones with Mic(Furious Red)",NaN,,boAt,,Red,On Ear,"Wireless, Wired",,,Bluetooth,,,,,,,,,,,,,,,,,,
655,"(Renewed) Jabra Elite 2 in Ear Wireless Bluetooth Earbuds – Noise Isolating with 2 Built-in Microphones for Clear Calls, Rich Bass and Customizable Sound - Navy",NaN,,Jabra,,Navy,In Ear,Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
656,"boAt Airdopes 171 in Ear Bluetooth True Wireless Earbuds with Upto 13 Hours Battery, IPX4, Bluetooth v5.0, Dual Tone Finish with Mic (Mysterious Blue)","₹5,999","1,499",boAt,Airdopes 171,Mysterious Blue,In Ear,"Wireless, Bluetooth 5.0",,,,,,,,,,,,,,,,,,,,,
657,"Noise Newly Launched Buds Connect Truly Wireless in Ear Earbuds with 50H Playtime, Quad Mic with ENC, Instacharge(10 min=120 min), 13mm Driver, Hyper Sync, and BT v5.2 (Ivory White)","₹3,999","1,499",Noise,Buds Connect,Ivory White,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
658,"boAt Rockerz 330 Pro in-Ear Bluetooth Neckband with 60HRS Playtime(Active Black) & Xtend Smartwatch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces & Stone 1000 14W Bluetooth Speaker",NaN,,boAt,,Active Black,In Ear,Bluetooth,,,Bluetooth,,,,,,,,,,,,,,,,,,
659,Meyaar SPN Edition Wired Durable Metal Earphones Earbuds with Microphone with Noise Isolating Earphones Earbuds with Remote & Mic Headset Stereo Headphones for Android & iOS (Metallic Black),₹999,129,Meyaar,,Metallic Black,In Ear,wired usb,,,,,,,,,,,,,,,,,,,,,
660,ZEBRONICS Zeb-Calyx Wired in Ear Earphone with Mic (White),₹399,275,ZEBRONICS,Zeb-Calyx,white,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
661,"boAt Rockerz 103 Pro Bluetooth in Ear Neckband with Beast Mode(40ms Low Latency), ENx Tech, ASAP Charge(Fast Charge), Upto 20HRS Playback, Signature Sound, BT v5.3 & IPX4(Mint Pink)","₹2,490","1,199",boAt,Rockerz 103 Pro,Mint Pink,In Ear,Bluetooth,,,,,,,,,,,,,,,,,,,,,
662,ZEBRONICS Zeb-Bang Wireless Bluetooth Over The Ear Headphone with Mic and and Playback time 16 hrs (Blue),"₹1,799",699,ZEBRONICS,Zeb-Bang,Blue,Over Ear,"Wireless, Bluetooth 5.0",,,,,,,,,,,,,,,,,,,,,
663,"Portronics Harmonics Z3 Wireless Bluetooth 5.3 Neckband in Ear Earphones with mic, 30Hrs Playtime, Magnetic Latch, IPX5 Water Resistant, Type C Charging Port(Green)","₹1,999",699,Portronics,Harmonics Z3,Green,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
664,Meyaar SP-27 Wired in-Ear Earphone with Mic (Pack of 3 Black),₹999,349,Meyaar,SP-27,Pack Of 3 Black,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
665,ZEBRONICS Zeb-Yoga 2 Wireless Neckband with 21 hrs.* of Playback time.(Green),"₹1,699",998,ZEBRONICS,Zeb-Yoga 2 (Green),Green,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
666,"Boult Audio X30 True Wireless in Ear Earbuds with 40H Playtime, Quad Mic ENC, 45ms Xtreme Low Latency, Made in India, Type-C Fast Charging, 3 Equalizer Modes (Rock, BoomX, Hi-Fi), BT 5.1 (Blue)","₹4,999","1,499",Boult Audio,AirBass,Blue,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
667,Skullcandy Smokin Bud2 Wireless in-Earphone with Mic (White/Chrome),"₹12,586","8,586",Skullcandy,Smokin' Buds 2 Wireless,White/Chrome,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
668,"boAt Rockerz 245 pro Bluetooth in Ear Neckband with Beast Mode(Super Low Latency) for Gaming, ENx Tech for Clear Calls, ASAP Charge, 20HRS Playtime,IPX4, Dual Pairing & BT v5.3(Oceana Grey)","₹2,990","1,299",boAt,Rockerz,Oceana grey,In Ear,Bluetooth,,,,,,,,,,,,,,,,,,,,,
669,"Zebronics Zeb-Sound Bomb 3 TWS In Ear Earbuds with Bluetooth v5.2, up to 12H Backup, Flash Connect, Splash Proof, Voice Assistant, stem Touch Control, 13mm Driver,Built in Microphone and Type C(Black)","₹3,499",799,ZEBRONICS,Zeb - Sound Bomb 3 (Black),Black,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
670,"boAt Rockerz 550 Over Ear Bluetooth Headphones Wireless Earbuds with 42H Playtime, Beast™ Mode for Gaming, ENx™ Tech, ASAP™ Charge, IWP™, IPX4 Water Resistance, Smooth Touch Controls(Bold Black)",NaN,,boAt,,Black,"Over Ear, In Ear",Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
671,(Renewed) Jabra Elite 45h Wireless On-Ear Headphone With Mic (Copper black),NaN,,Jabra,,Copper black,On Ear,Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
672,Skullcandy Dime 2 in-Ear True Wireless Earbuds with Mic (Dark Green),"₹7,999","2,699",Skullcandy,Dime 2 TWS,Green,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
673,boAt (Renewed) Airdopes 441 Pro Bluetooth Truly Wireless in Ear Earbuds with Mic (Active Black),NaN,NaN,boAt,Airdopes 441 Pro,Active Black,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
674,"Skullcandy Indy ANC True Wireless in-Ear Bluetooth Earbuds, Active Noise Cancellation, Compatible with iPhone and Android, Charging Case and Mic, Best for Gym, Sports, and Gaming - Black","₹14,999","9,499",Skullcandy,Indy ANC,Black,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
675,"Skullcandy Dime Bluetooth Truly Wireless in Ear Earbuds with Mic with 12 Hours Total Battery, Ipx4 Sweat and Water Resistant, Secure Noise Isolating Fit (Golden Red)","₹7,499","2,344",Skullcandy,Dime TWS,Golden Red,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
676,Meyaar Beex Earphones High Bass Sport Earbuds Noise Isolating Deep Bass in Ear Earphones with Microphones Headphones with Mic (Black with Red Case),₹999,299,Meyaar,,Black with Red Case,In Ear,,,,,,,,,,,,,,,,,,,,,,
677,"Jabra Elite 3 in Ear Wireless Bluetooth Earbuds – Noise Isolating True Wireless Buds with 4 Built-in Microphones for Clear Calls, Rich Bass, Customizable Sound, and Mono Mode - Dark Grey","₹21,366","12,792",Jabra,Elite 3,Dark Grey,In Ear,Bluetooth,,,,,,,,,,,,,,,,,,,,,
678,Jabra Talk 15 Wireless Bluetooth On Ear Headset with Mic (Black),"₹3,999","2,500",Jabra,Jabra Talk 15,Black,,,On Ear,Wireless,,,,,,,,,,,,,,,,,,,
679,"Noise Tune Active Pro Wireless in Ear Neckband with Upto 60 Hours of Playtime, ESR, Dual Pairing, Low Latency, Instacharge, 10mm Driver, and Bluetooth v5.2 (Cobalt Blue)","₹2,999","1,269",Noise,Tune Active Pro,Cobalt Blue,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
680,"Portronics Harmonics Twins 26 TWS Earbuds with ENC, Bluetooth 5.1, 13mm Driver, 27Hrs Playtime, Digital Display, Type C Charging, Dual Mic.(Black)","₹2,999","1,199",Portronics,Harmonics Twins 26,Black,,,In Ear,Wireless,,,,,,,,,,,,,,,,,,,
681,Meyaar R_Pluss Metal in-Ear Earbuds with High Bass for All Smartphones Headset with Mic Headphones Wired Earphone with Mic (Black),₹699,89,Meyaar,,Charcoal Black,In Ear,wired usb,,,,,,,,,,,,,,,,,,,,,
682,"pTron Tangent Urban, 60Hrs Playtime, ENC, Bluetooth 5.3 Earphones, Low Latency Gaming, Punchy Bass, in-Ear Wireless Headphones with Mic, Type-C Fast Charging Neckband, IPX4 & Voice Assistance (Black)","₹2,599",899,PTron,Tangent,Jet Black,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
683,"boAt Rockerz 450 Masaba Edition Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions and Dual Modes Bluetooth Wireless On Ear Headphones with Mic and (Aztec Fusion)","₹3,990","1,959",boAt,Rockerz 450,Aztec Fusion,On Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
684,"Skullcandy Hesh ANC Wireless Over-Ear Headphones, Active Noise Cancelling, Wireless Charging 22 Hours Battery Life - Mob White","₹19,999","10,599",Skullcandy,Hesh ANC,Mod White,Over Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
685,"boAt Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions, Integrated Controls and Dual Modes & Bassheads 100 in Ear Wired Earphones with Mic",NaN,"1,399",boAt,,"Beige, Black",On Ear,"Wireless, Wired",,,Bluetooth,,,,,,,,,,,,,,,,,,
686,Meyaar Sunshine YS for Headset Earphone with High Bass Clear Mic for Calling with 3.5 mm Jack Earphone for Android Mobiles Wired Headset with Mic,NaN,199,Meyaar,,White,In Ear,wired usb,,,,,,,,,,,,,,,,,,,,,
687,"Zeb-Yoga 8 Metallic & Magnetic Earpieces,Built-in Rechargeable Battery,Extra Ear Tips,Call Functi,Type-C ChargingFlexible Neckbandon Dual Pairingon,Splash Proof","₹2,999",849,ZEBRONICS,ZEB YOGA 8,BLACK,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
688,"Boult Audio AirBass PowerBuds with 120H Total Playtime, Inbuilt Powerbank, IPX7 Fully Waterproof, Type-C Fast Charging, Low Latency Gaming, Pro Calling Mic Airbass True Wireless in Ear Earbuds (Black)","₹8,999","1,499",Boult Audio,AirBass,Black,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
689,"boAt Airdopes 121 PRO True Wireless in Ear Earbuds Signature Sound, Quad Mic ENx, Beast Mode for Gaming, 40H Playtime, IWP, IPX4 & Stone 1000 14W Bluetooth Speaker with 8 Hours Playback",NaN,,boAt,,,In Ear,Wireless,,,Bluetooth,,,"earbud, in-ear",,,,,,,,,,,,,,,
690,Skullcandy Dime 2 in-Ear True Wireless Earbuds with Mic (Dark Green),"₹7,999","2,699",Skullcandy,Dime 2 TWS,Green,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
691,Skullcandy Dime 2 in-Ear True Wireless Earbuds with Mic (Dark Blue),"₹7,999","2,699",Skullcandy,Dime 2 TWS,Blue,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
692,(Renewed) Skullcandy Indy Fuel Truly Wireless Bluetooth In Ear Earbuds with Mic (Black),NaN,,Skullcandy,,Black,In Ear,Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
693,Skullcandy Set Sport Wired In-Earphone with Mic (Black),"₹2,999","1,799",Skullcandy,Set,Black,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
694,"pTron Newly Launched Bassbuds Nyx in-Ear Wireless Headphone, Immersive Audio, BT5.1, Stereo Calls, 50ms Movie Mode, Touch Control TWS Earbuds, Digital Case, Type-C Fast Charging & IPX4 (White/Black)","₹3,999","1,399",PTron,Bassbuds,White & Black,,,In Ear,Wireless,,,,,,,,,,,,,,,,,,,
695,"Meyaar SPN UpBeat-1 Earbuds, Wired Headphones with Microphone and Ear Bud Tip Replacements, Universal 3.5 mm Plug for Most Smartphones, Tablets, Noise Isolating, Memory Foam Pads, Deep Bass (Black)",₹349,129,Meyaar,Upbeat-1,Black,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
696,"(Renewed) boAt Airdopes 441 TWS Wireless In Ear EarBuds with IWP Technology, Immersive Audio, Up to 18H Total Playback, IPX6 Water Resistance, Super Touch Controls, Secure Sports Fit(Bumblebee Yellow)",NaN,NaN,boAt,,Bumblebee Yellow,In Ear,Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
697,"Portronics Harmonics Z5 Wireless Bluetooth Stereo Headset with 33Hrs Playtime, Double EQ Mode, 14.2 mm Dynamic Drivers, Click Action Buttons(Red)","₹2,499",899,Portronics,Harmonics Z5,Red,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
698,Dylect in-Ear Wired Earphone I Stereo Quality Sound I High Bass I in-Built Mic I 1.2m Tangle Free Cable I 3.5mm Aux Port (Black),₹299,188,Dylect,Dylect Wired Earphone,Black,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
699,ZEBRONICS Zeb-PREKSHA 2.0 Wireless Bluetooth in Ear Headset with Mic (Black),"₹1,999",891,ZEBRONICS,,Black,In Ear,Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
700,ZEBRONICS Zeb-Duke Bluetooth Wireless Over Ear Headphone with Mic (Black),"₹1,999","1,299",ZEBRONICS,Zeb-Duke,Black,Over Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
701,"boAt Rockerz 450 Superman Edition Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions, Integrated Controls and Dual Modes(Krypton Blue)","₹3,990","1,999",boAt,Rockerz 450,Krypton Blue,On Ear,Bluetooth,,,,,,,,,,,,,,,,,,,,,
702,Jabra Elite 65t Truly Wireless Bluetooth In Ear Earbuds with Mic (Gold Beige),"₹24,977","18,977",Jabra,,Multicolor,In Ear,Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
703,"(Renewed) boAt Rockerz 550Bluetooth Wireless On Ear Headphones With Mic With Ergonomic Aesthetics, Plush Padded Earcups, Immersive Audio, Bluetooth V5.0 & Upto 20H Playback(Red)",NaN,,boAt,Rockerz 550,Furious Red,On Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
704,Jabra Enterprise Store Evolve2 40 UC Wired On Ear Headphone with Mic (Black),"₹26,500","11,950",Jabra,Evolve2 40,Black,On Ear,Wired,,,,,,,,,,,,,,,,,,,,,
705,"(Renewed) Boat Rockerz 255F Sports Wireless Headset with Super Extra Bass, IPX5 Water & Sweat Resistance, Qualcomm Chipset and Up to 6H Playback(Ocean Blue)",NaN,,boAt,,Ocean Blue,,Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
