Title,Actual_Price,Selling_Price,Brand,Model,Colour,Form_Factor,Connectivity_Type
"Skullcandy Hesh Evo Bluetooth Headset  (Black, On the Ear)",14999.0,8299.0,Skullcandy,s6hvw-n740,Black,On Ear,Bluetooth
"boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bluetooth Headset  (Crimson Cream, True Wireless)",2990.0,1299.0,boAt,Airdopes 131,Crimson Cream,In Ear,Bluetooth
"Boult Audio Maverick with Quad Mic ENC, 45ms Low Latency Gaming Mode, 35H Playtime Bluetooth Headset  (Black, True Wireless)",4499.0,1799.0,Boult,Maverick,Black,In Ear,Bluetooth
"Noise Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync Bluetooth Headset  (Space Blue, True Wireless)",3999.0,1599.0,Noise,"Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",Space Blue,In Ear,Bluetooth
"Boult Audio Ranger Bluetooth Gaming Headset  (Black, On the Ear)",7999.0,1799.0,Boult,Ranger,Black,On Ear,Bluetooth
"PTron Bassbuds Rush Bluetooth Gaming Headset  (Black, True Wireless)",3199.0,1599.0,PTron,Bassbuds Rush,Black,In Ear,Bluetooth
"ZEBRONICS ZEB-BRO Wired Headset  (Red, In the Ear)",399.0,325.0,ZEBRONICS,ZEB-BRO,Red,In Ear,Wired
"ZEBRONICS ZEB- PHOENIX Wired Gaming Headset  (Black, On the Ear)",1999.0,1275.0,ZEBRONICS,ZEB- PHOENIX,Black,On Ear,Wired
"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime, 45ms Ultra-Low Latency Mode, 5.3 Bluetooth Headset  (Graphite Black, True Wireless)",2999.0,1299.0,Boult,Airbass Z35,Graphite Black,In Ear,Bluetooth
"Skullcandy Ink'd Plus Wired Headset  (Blue, In the Ear)",2499.0,1092.0,Skullcandy,S2IMY-M686,Blue,In Ear,Wired
"PTron Bassbuds B11 with 13mm Driver, Stereo Calls, 28Hrs Playback Bluetooth Headset  (Black, In the Ear)",2599.0,999.0,PTron,Bassbuds B11,Black,In Ear,Bluetooth
"Noise Buds VS204 with 50 Hours Playtime, Instacharge, ESR, 10mm Driver, and HyperSync Bluetooth Headset  (Space Blue, True Wireless)",3999.0,1599.0,Noise,Buds�VS204,Space Blue,In Ear,Bluetooth
"Noise Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync Bluetooth Headset  (Forest Green, True Wireless)",3999.0,1499.0,Noise,"Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",Forest Green,In Ear,Bluetooth
"PTron Basspods P251+, 50Hrs Playback, 12mm Driver, ENC, Movie Mode Bluetooth Headset  (White, True Wireless)",3999.0,999.0,PTron,Basspods P251+,White,In Ear,Bluetooth
"ZEBRONICS ZEB-BRO Wired Headset  (Blue, In the Ear)",399.0,308.0,ZEBRONICS,ZEB-BRO,Blue,In Ear,Wired
"Wings Phantom 550, Gaming TWS Earbuds, 45hr Playtime, Touch Controls Bluetooth Gaming Headset  (White, True Wireless)",2999.0,1299.0,Wings,Phantom 550,White,In Ear,Bluetooth
"PTron InTunes Beats Bluetooth Headset  (Black, In the Ear)",2499.0,1199.0,PTron,InTunes Beats,Black,In Ear,Bluetooth
"Noise Air Buds Pro 2 with 25 Hours Playtime, 40dB ANC, Triple Mic with ENC, and IPX5 Bluetooth Headset  (Snow White, True Wireless)",7999.0,2699.0,Noise,"Air Buds Pro 2 with 25 Hours Playtime, 40dB ANC, Triple Mic with ENC, and IPX5",Snow White,In Ear,Bluetooth
"Noise Flair Neckband with 35 Hours Playtime, ENC with Dual Mic, 10mm Driver, and IPX5 Bluetooth Headset  (Carbon Black, In the Ear)",3999.0,1799.0,Noise,Flair Touch Neckband,Carbon Black,In Ear,Bluetooth
"Wings Phantom 110 Neckband, LED , 20 hrs Playtime, 50ms Low Latency Headphones Bluetooth Gaming Headset  (Black, In the Ear)",1999.0,899.0,Wings,WL-PHANTOM110,Black,In Ear,Bluetooth
"Boult Audio Thunder Bluetooth Headset  (Black, On the Ear)",3999.0,1399.0,Boult,Thunder,Black,On Ear,Bluetooth
"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs Playtime, Ultra-Fast Charging Bluetooth Headset  (Black, In the Ear)",4499.0,799.0,Boult,ProBass EQCharge,Black,In Ear,Bluetooth
"Noise Nerve Pro with upto 35hrs of playtime, ESR, Instacharge and Bluetooth v5.2 Bluetooth Headset  (Cyan Blue, In the Ear)",2799.0,1099.0,Noise,Nerve Pro Neckband,Cyan Blue,In Ear,Bluetooth
"Noise Buds VS304 with 35 Hours Playtime, Instacharge, 13mm Driver, and Half in-ear Bluetooth Headset  (Pearl White, True Wireless)",2999.0,1099.0,Noise,Buds VS304,Pearl White,In Ear,Bluetooth
"Wings Phantom 860 Wireless Earbuds, 50 hrsPlaytime, Quad ENC Mic & App Support Bluetooth Gaming Headset  (Black, True Wireless)",2999.0,1499.0,Wings,WL-PHANTOM860-BLK,Black,In Ear,Bluetooth
"Boult Audio AirBass PowerBuds with Inbuilt Powerbank, 120H Playtime, IPX7 Waterproof Bluetooth Headset  (Black, True Wireless)",8999.0,1499.0,Boult,Air Bass Power Buds,Black,In Ear,Bluetooth
"Noise Air Buds Mini with 15 Hours Playtime, Tru Bass Technology, and HyperSync Bluetooth Headset  (Pale Blue, True Wireless)",2999.0,999.0,Noise,Air Buds Mini Truly Wireless,Pale Blue,In Ear,Bluetooth
"PTron Bassbuds Epic, 40ms Gaming TWS Earbuds, 35hrs Playtime, ENC Calls, Touch Control Bluetooth Headset  (Black, In the Ear)",3199.0,1299.0,PTron,Bassbuds Epic,Black,In Ear,Bluetooth
"Skullcandy Dime Truly wireless in Ear Earbuds with microphone Bluetooth Headset  (Blue, True Wireless)",7499.0,2699.0,Skullcandy,s2dmw-p751,Blue,In Ear,Bluetooth
