product_link,Title,Actual_Price,Selling_Price,Brand,Model,Colour,Form_Factor,Connectivity_Type
https://www.amazon.in/Meyaar-Secure-Braided-Universal-Earphones/dp/B07X7FR6HJ/ref=sr_1_74?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386812&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-74,"Meyaar SPN Metal Earphones Made in India Headset with High Bass & HD Sound, in-line mic, Headset with Mic & 3.5mm Jack Wired Universal Earphones. (Black)",799.0,259.0,Meyaar,SPN,Metal Black,In Ear,wired usb
https://www.amazon.in/Zebronics-Zeb-Sound-N2-Assistant-Black/dp/B09Z7WBJPT/ref=sr_1_100?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386805&refinements=p_89%3AZEBRONICS&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-100,"ZEBRONICS Zeb-Sound Bomb N2 TWS in Ear Earbuds with 50ms Low Latency Gaming, ENC, Voice Assistant, Flash Connect, Splash Proof, Bluetooth 5.2, up to 12H Backup, Call Function and Type C (Black)",4199.0,1099.0,ZEBRONICS,ZEB-SOUND BOMB N2 (Black),Black,In Ear,Bluetooth 5.2
https://www.amazon.in/Skullcandy-Wireless-Earbuds-Resistant-Tracking/dp/B0857K4HX4/ref=sr_1_97?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386866&refinements=p_89%3ASkullcandy&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-97,Skullcandy Indy Evo Truly Wireless Bluetooth in Ear Earbuds with Mic (Pure Mint),12999.0,5899.0,Skullcandy,Indy Evo,Pure Mint,In Ear,bluetooth
https://www.amazon.in/Tangent-Bluetooth-Headphones-Assistant-Resistant/dp/B0BSFNNZ5K/ref=sr_1_8?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386868&refinements=p_89%3APTron&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-8,"PTron Tangent Duo Bluetooth 5.2 Wireless in Ear Headphones, 13mm Driver, Deep Bass, HD Calls, Fast Charging Type-C Neckband, Dual Pairing, Voice Assistant & IPX4 Water Resistant (Black/Green)",1899.0,549.0,pTron,Tangent,Black/Green,nan,nan
https://www.amazon.in/Wings-Launched-Ergonomic-Playtime-Controls/dp/B0BVBSMPZ6/ref=sr_1_34?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386856&refinements=p_89%3AWings&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-34,"Wings Newly Launched Phantom 345 Best Low Latency 40ms Earbuds, Sync App Support, Ergonomic Case, 50 Hours Playtime, in Ear Airpods with Quad ENC Mic &Touch Controls TWS",2999.0,1499.0,Wings,Phantom 345,White,nan,nan
https://www.amazon.in/Hitage-HP-768-Headphones-Definition-Compatibility/dp/B09B2QYN9T/ref=sr_1_68?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386852&rnid=3837712031&sprefix=%2Caps%2C1567&sr=8-68,HITAGE Earphones HPB-768 Headphones Earplugs Headset High Definition Sound Deep Extra Bass Wired Earphone with in-line Mic Wide Compatibility Tangle Free Cable (White),499.0,99.0,HITAGE,HEADPHONEHP768,WHITE,In Ear,Wired
https://www.amazon.in/ZEBRONICS-Yoga-N3-Bluetooth-Assistant/dp/B0BGRTXM19/ref=sr_1_40?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386799&refinements=p_89%3AZEBRONICS&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-40,"ZEBRONICS Yoga N3 with 46 Hours Backup, Bluetooth v5.2 Wireless Neckband, ENC Calling, Gaming Mode (Upto 50ms), Voice Assistant, Dual Pairing, Splash Proof and Type C (Blue)",3499.0,999.0,ZEBRONICS,Zeb Yoga N3 - Blue,Blue,In Ear,Wireless
https://www.amazon.in/Wings-Neckband-Bluetooth-Dedicated-Headphones/dp/B0B76K91RJ/ref=sr_1_19?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386854&refinements=p_89%3AWings&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-19,"Wings Phantom 110 in Ear Neckband with ENC Mic,Dual Pairing, 20 hrs Playtime, Bluetooth 5.3,Dedicated Bass Boost Mode and Gaming Mode with 50ms Ultra Low Latency Headphones (Green)",1999.0,872.0,Wings,WL-PHANTOM110-GRN,Green,nan,nan
https://www.amazon.in/Rockerz-450-Masaba-Bluetooth-Headphone/dp/B08T68PMJK/ref=sr_1_27?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386787&refinements=p_89%3AboAt&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-27,"boAt Rockerz 450 Masaba Edition Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions and Dual Modes Bluetooth Wireless On Ear Headphones with Mic (Black Star)",3990.0,1999.0,boAt,Rockerz 450,Black Star,On Ear,Wireless
https://www.amazon.in/Skullcandy-Indy-True-Wireless-Earbud/dp/B086KXG77K/ref=sr_1_102?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386866&refinements=p_89%3ASkullcandy&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-102,Skullcandy Indy XT True Wireless In-Ear Earbud - Black,21800.0,12342.0,Skullcandy,Indy XT,Black,In Ear,Wireless
https://www.amazon.in/boAt-Rockerz-558-Bluetooth-Headphones/dp/B0BVRD5QKY/ref=sr_1_19?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386785&refinements=p_89%3AboAt&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-19,"boAt Rockerz 558 Bluetooth Wireless Over Ear Headphones with Mic Upto 20 Hours Playback, 50MM Drivers, Soft Padded Ear Cushions and Physical Noise Isolation(Maroon Maverick)",4999.0,1999.0,boAt,Rockerz 550,Maroon,On Ear,Bluetooth
