product_link,Title,Actual_Price,Selling_Price,Brand,Model Name,Colour,Headphones form factor,Connector Type,Form Factor,Connectivity technologies,Material,Compatible Devices,Item Dimensions LxWxH,Connectivity Technology,Wireless Communication Technology,Special Feature,Mounting Hardware,Series,Included Components
https://www.amazon.in/Meyaar-Headphones-Immersive-Multi-Function-Microphone/dp/B0822T3JCS/ref=sr_1_63?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386811&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-63,"Meyaar M12 Earphones Wired Headphones with Immersive Audio, Multi-Function Button, Earphones with in-line Microphone & Perfect Length Tangle Free Cable Pro Earbuds Headset (White)",₹999,249,Meyaar,M12,White,In Ear,wired usb,,,,,,,,,,,
https://www.amazon.in/EDYELL-C9-Cancellation-Headphones-Waterproof/dp/B0BMVTSTPT/ref=sxin_16_aspa_sqa?c_c=305688195&content-id=amzn1.sym.d6fc18b9-350a-43ef-bbf0-8a0340d151dd%3Aamzn1.sym.d6fc18b9-350a-43ef-bbf0-8a0340d151dd&crid=26YCJ7VB7YLJ4&cv_ct_cx=headphones&keywords=headphones&pd_rd_i=B0BMVTSTPT&pd_rd_r=a46c679d-f1f1-411c-89ac-a5fc23a33e7c&pd_rd_w=cYK1X&pd_rd_wg=QuhMG&pf_rd_p=d6fc18b9-350a-43ef-bbf0-8a0340d151dd&pf_rd_r=4YD95A732J1W2D7JV1T3&qid=1684386796&refinements=p_89%3AZEBRONICS&rnid=3837712031&s=electronics&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=%2Caps%2C1567&sr=1-4-9e85f757-0438-470e-8160-8465beaa22d5,"EDYELL C9 Wireless Earbuds/Bluetooth Earphones with ENC Noise Cancellation with 4-Mic Clear Call, in-Ear Headphones, 13mm Powerful Bass Drivers, 48+ Hours of Playtime, Bluetooth 5.3, High Audio Quality, Low Latency, IPX7 Waterproof","₹5,999","2,299",EDYELL,C9 Upgraded,Jet Black,In Ear,Bluetooth 5.3,,,,,,,,,,,
https://www.amazon.in/Meyaar-SP-27-India-Earphones-Earphone/dp/B09FF136XK/ref=sr_1_100?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386815&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-100,Meyaar 2 Pack SP-27 Made in India Earphones Wired in-Ear Earphone with Mic (White & Black) (Pack of 2),₹999,249,Meyaar,SP-27(White + Black),White + Black,In Ear,Wired,,,,,,,,,,,
https://www.amazon.in/Sony-Extra-MDR-XB450AP-Headphones-Black/dp/B00SISEOLC/ref=sr_1_36?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386847&rnid=3837712031&sprefix=%2Caps%2C1567&sr=8-36,Sony Extra Bass MDR-XB450AP On-Ear Wired Headphones with Mic (Black),"₹2,490","2,016",Sony,MDR-XB450AP,Black,On Ear,Wired,,,,,,,,,,,
https://www.amazon.in/Skullcandy-S2JPW-M010-Wireless-Earphone-Black/dp/B07RV9DWDW/ref=sr_1_32?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386860&refinements=p_89%3ASkullcandy&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-32,Skullcandy Jib Plus Wireless in-Earphone with Mic (Red) (S2JPW-M010),"₹4,599","1,499",Skullcandy,Jib Plus,Red/Black,In Ear,Bluetooth,,,,,,,,,,,
https://www.amazon.in/Renewed-boAT-wireless-Wireless-Earphone/dp/B09KVD2P67/ref=sr_1_119?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386791&refinements=p_89%3AboAt&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-119,(Renewed) boAT 103 wireless Blue In Ear Wireless Earphone,NaN,,boAt,Boat 103-cr,Blue,In Ear,Wireless,,,,,,,,,,,
https://www.amazon.in/ZEBRONICS-Aquaman-30-Microphone-Multifunction/dp/B0BS6BDZRQ/ref=sr_1_106?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386805&refinements=p_89%3AZEBRONICS&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-106,"ZEBRONICS DC Aquaman Edition Buds 30 3.5mm Stereo Earphone with Inline Microphone for Calling, Volume Control, Multifunction Button, 14mm Drivers, Stylish eartip Design and 1.2 Meter Durable Cable",₹599,319,ZEBRONICS,ZEB - BUDS 30 - Aquaman,Aquaman,In Ear,Wired,,,,,,,,,,,
https://www.amazon.in/Zebronics-Zeb-Buds-30-Multifunction-Lightweight/dp/B09SGF7SMV/ref=sr_1_26?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386799&refinements=p_89%3AZEBRONICS&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-26,"Zebronics Zeb-Buds 30 3.5Mm Stereo Wired In Ear Earphones With Mic For Calling, Volume Control, Multifunction Button, 14Mm Drivers, Stylish Eartip,1.2 Meter Durable Cable And Lightweight Design(White)",₹499,212,ZEBRONICS,Zeb-Buds 30 (White),White,In Ear,Wired,,,,,,,,,,,
https://www.amazon.in/Sony-Extra-Bass-MDR-XB450AP-Headphones/dp/B00SISQAX2/ref=sr_1_9?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386792&refinements=p_89%3ASONY&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-9,Sony Extra Bass MDR-XB450AP On-Ear Wired Headphones with Mic (Blue),NaN,"2,489",Sony,MDR-XB450AP,Blue,On Ear,Wired,,,,,,,,,,,
https://www.amazon.in/boAt-Rockerz-450-Pro-Bluetooth/dp/B08XY3QJ48/ref=sr_1_33?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386787&refinements=p_89%3AboAt&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-33,"boAt Rockerz 450 Pro Bluetooth Wireless On Ear Headphones with Mic with 70 Hours Battery, 40Mm Drivers, Bluetooth V5.0 Padded Ear Cushions, Easy Access Controls and Voice Assistant (White Purity)","₹3,990","1,779",boAt,Rockerz 450 Pro,White Purity,On Ear,Bluetooth 5.0,,,,,,,,,,,
