product_link,Title,Actual_Price,Selling_Price,Model Name,Color,Headphone Type,Inline Remote,Sales Package,Connectivity,Headphone Design,Accessories Included,Type
https://www.flipkart.com/meyaar-candy-santa-s6-boom-bass-stereo-earphone-earbuds-headphones-wired-headset/p/itm8795115a1edb7?pid=ACCFUMYHQFM3HUE2&lid=LSTACCFUMYHQFM3HUE2TTMTNT&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_4&otracker=search&otracker1=search&iid=ae922a5e-6988-4324-8eba-7fb2b24cddff.ACCFUMYHQFM3HUE2.SEARCH&ssid=pg9bvgz0ow0000001684389998379&qH=e9698ba16f3a3269,"Meyaar Candy_Santa S6 Boom Bass Stereo Earphone Earbuds Headphones Wired Headset  (White, In the Ear)",₹799,₹289,Candy_Santa S6 Boom Bass Stereo Earphone Earbuds Headphones,White,In the Ear,Yes,Pack of 1 Earphphones,Wired,Earbud,,
https://www.flipkart.com/meyaar-metal-in-ear-sport-headset-high-bass-earphone-wired/p/itma22424ba9a9f1?pid=ACCFZ98ANWQEFXHG&lid=LSTACCFZ98ANWQEFXHG8LTJJS&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_2_25&otracker=search&otracker1=search&fm=Search&iid=ae922a5e-6988-4324-8eba-7fb2b24cddff.ACCFZ98ANWQEFXHG.SEARCH&ppt=sp&ppn=sp&ssid=pg9bvgz0ow0000001684389998379&qH=e9698ba16f3a3269,"Meyaar Metal in-Ear Sport Headset with High Bass Earphone Wired Headset  (Black, In the Ear)",₹599,₹229,Metal in-Ear Sport Headset with High Bass Earphone,Black,In the Ear,Yes,1 Headphone,Wired,,,
https://www.flipkart.com/portronics-conch-20-wired-headset/p/itm9927dd3ddcf68?pid=ACCG7B9ZEGT88X2G&lid=LSTACCG7B9ZEGT88X2GEAC8PC&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_37&otracker=search&otracker1=search&iid=5853baf6-4605-4157-ab5c-f4cdd898e548.ACCG7B9ZEGT88X2G.SEARCH&ssid=mwwn0wbvog0000001684390003142&qH=e9698ba16f3a3269,"Portronics Conch 20 Wired Headset  (White, In the Ear)",NaN,₹599,Conch 20,White,In the Ear,Yes,1N Earphone,Wired,Earbud,,
https://www.flipkart.com/ptron-bassbuds-xtreme-earbuds-game-mode-32hrs-playtime-pinch-control-bluetooth-headset/p/itmf852794ee95da?pid=ACCGH5Z9FXJYSGHT&lid=LSTACCGH5Z9FXJYSGHT65QEB5&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_33&otracker=search&otracker1=search&iid=4eb3528d-b3ef-42dc-b62b-b07ce3beeaa8.ACCGH5Z9FXJYSGHT.SEARCH&ssid=jwmmfl1nps0000001684390059829&qH=e9698ba16f3a3269,"PTron Bassbuds Xtreme Earbuds With Game Mode, 32hrs Playtime, Pinch Control Bluetooth Headset  (Grey & Black, In the Ear)","₹4,599",₹799,Bassbuds Xtreme,Grey & Black,In the Ear,Yes,"1 Pair of Earbuds with Charging Case, Charging Cable, User Guide QR Card and 2 Pair of Extra Eartips",Bluetooth,Earbud,,
https://www.flipkart.com/zebronics-zeb-buds-c2-wired-headset/p/itma0c628e01284b?pid=ACCG49EFRWHFFPYX&lid=LSTACCG49EFRWHFFPYXBSHDX1&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_37&otracker=search&otracker1=search&iid=c4b2f014-7a4d-4694-b934-abdb17c9d797.ACCG49EFRWHFFPYX.SEARCH&ssid=ofoxn8uy8w0000001684389996846&qH=e9698ba16f3a3269,"ZEBRONICS Zeb-Buds C2 Wired Headset  (Blue, In the Ear)",₹699,₹598,Zeb-Buds C2,Blue,In the Ear,Yes,1 unit Earphone,Wired,Canalphone,,
https://www.flipkart.com/sony-wh-ch520-50-hrs-playtime-dsee-upscale-multipoint-connection-dual-pairing-bluetooth-headset/p/itm29e4c2b8a0883?pid=ACCGZ4MAHVHUTGDU&lid=LSTACCGZ4MAHVHUTGDUAUVQPZ&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_2_23&otracker=search&otracker1=search&fm=Search&iid=487c6faf-4521-4fcd-9385-19732a94e7ad.ACCGZ4MAHVHUTGDU.SEARCH&ppt=sp&ppn=sp&ssid=7shilhzig00000001684389994966&qH=e9698ba16f3a3269,"SONY WH-CH520 with 50 Hrs Playtime, DSEE Upscale, Multipoint Connection/Dual Pairing Bluetooth Headset  (Taupe, On the Ear)","₹5,990","₹4,490",WH-CH520/CZ,Taupe,On the Ear,Yes,"1 Headphone, USB Cable",Bluetooth,Over the Head,,
https://www.flipkart.com/meyaar-musical-life-ultra-high-bass-earphones-wired-headset/p/itma5fe68a39bd0e?pid=ACCFUGCDVARRTXGR&lid=LSTACCFUGCDVARRTXGR5R7HRO&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_2_5&otracker=search&otracker1=search&fm=Search&iid=ae922a5e-6988-4324-8eba-7fb2b24cddff.ACCFUGCDVARRTXGR.SEARCH&ppt=sp&ppn=sp&ssid=pg9bvgz0ow0000001684389998379&qH=e9698ba16f3a3269,"Meyaar Musical Life with Ultra High Bass Earphones Wired Headset  (Black, In the Ear)",₹999,₹199,Musical Life with Ultra High Bass Earphones,Black,In the Ear,Yes,Pack of 1 Earphone,Wired,Earbud,,
https://www.flipkart.com/portronics-conch-110-ear-mic-wired-headset/p/itm113dfc6b4beb9?pid=ACCGFC9KN6HG6JGU&lid=LSTACCGFC9KN6HG6JGUJEKOEF&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_2_13&otracker=search&otracker1=search&fm=Search&iid=5853baf6-4605-4157-ab5c-f4cdd898e548.ACCGFC9KN6HG6JGU.SEARCH&ppt=sp&ppn=sp&ssid=mwwn0wbvog0000001684390003142&qH=e9698ba16f3a3269,"Portronics Conch 110 In Ear with Mic. Wired Headset  (Blue, In the Ear)",₹599,₹299,Conch 110 In Ear with Mic.,Blue,In the Ear,Yes,1N Earphone,Wired,Earbud,,
https://www.flipkart.com/meyaar-plus-2-pack-series-metal-earphones-ultra-high-bass-mic-wired-headset/p/itm2ffdd455ab06c?pid=ACCFUH9FUAHWHFG5&lid=LSTACCFUH9FUAHWHFG5XZCP0V&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_19&otracker=search&otracker1=search&iid=ae922a5e-6988-4324-8eba-7fb2b24cddff.ACCFUH9FUAHWHFG5.SEARCH&ssid=pg9bvgz0ow0000001684389998379&qH=e9698ba16f3a3269,"Meyaar Plus 2 Pack Series Metal Earphones with Ultra High Bass & Mic Wired Headset  (Metal Black, Grey Upgraded, In the Ear)",₹799,₹246,Plus 2 Pack Series Metal Earphones with Ultra High Bass & Mic,"Metal Black, Grey Upgraded",In the Ear,Yes,Pack of 2,Wired,Earbud,,
https://www.flipkart.com/sony-ex155-wired-headset/p/itm92f01fb1ea182?pid=ACCEVAEWCBH7WR3K&lid=LSTACCEVAEWCBH7WR3KVJET8H&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_2_14&otracker=search&otracker1=search&fm=Search&iid=487c6faf-4521-4fcd-9385-19732a94e7ad.ACCEVAEWCBH7WR3K.SEARCH&ppt=sp&ppn=sp&ssid=7shilhzig00000001684389994966&qH=e9698ba16f3a3269,"SONY EX155 Wired Headset  (Black, In the Ear)","₹1,290","₹1,099",MDR-EX155AP,Black,In the Ear,Yes,"Operating Instructions, Silicon Earbuds, Reference Guide, 1 Headset, Wire Manager",Wired,,,
https://www.flipkart.com/meyaar-spn-pack-2-headset-made-in-india-earphones-mic-wired/p/itm21bafd230fb19?pid=ACCFZE6VNFH39K8Y&lid=LSTACCFZE6VNFH39K8Y4VZOWS&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_17&otracker=search&otracker1=search&iid=ae922a5e-6988-4324-8eba-7fb2b24cddff.ACCFZE6VNFH39K8Y.SEARCH&ssid=pg9bvgz0ow0000001684389998379&qH=e9698ba16f3a3269,"Meyaar SPN Pack of 2 Headset Made-In-India Headset Earphones with Mic Wired Headset  (White, Black, In the Ear)",₹999,₹279,SPN Pack of 2 Headset Made-In-India Headset Earphones with Mic,"White, Black",In the Ear,Yes,2 Pack SPN Earphones,Wired,Canalphone,,
