product_key,product_link,Title,Actual_Price,Selling_Price,Brand,Model,Colour,Form_Factor,Connectivity_Type
32,https://www.amazon.in/Wings-Neckband-Bluetooth-Dedicated-Headphones/dp/B0B76QBL8K/ref=sr_1_4?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386854&refinements=p_89%3AWings&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-4,wing phantom 110 neckband with enc micdual pair 20 hrs playtime bluetooth 53dedicated bass boost mode and gaming mode with 50ms ultra low latency headphone orange,1990.0,872.0,wing,wlphantom110org,orange,nan,nan
33,https://www.amazon.in/ZEBRONICS-Black-30-Bluetooth-Microphone/dp/B0BS6CRKC8/ref=sr_1_74?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386802&refinements=p_89%3AZEBRONICS&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-74,zebronic dc black adam edition bud 30 35 mm stereo bluetooth in ear earphone with inline microphone for call volume control 14 mm driver stylish eartip design and 12 meter durable cable,599.0,242.0,zebronic,zeb bud 30 black adam,black adam,in ear,wire
34,https://www.amazon.in/SH-12-Wireless-Universal-Bluetooth-Headphone/dp/B08PT9PPZ2/ref=sr_1_52?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386850&rnid=3837712031&sprefix=%2Caps%2C1567&sr=8-52,sh12 wireless bluetooth over the ear headphone with mic black,799.0,473.0,generic,sh12,black,over ear,wireless
35,https://www.amazon.in/Bassbuds-Wireless-Earbuds-Charging-Playtime/dp/B0B4G6DHSH/ref=sr_1_28?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386870&refinements=p_89%3APTron&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-28,ptron bassbuds revv wireless in ear earbud with mic enc call 50ms low latency 13 mm driver punchy bass bt53 headphone touch control typec fast charge 28hrs playtime ipx4 black,4599.0,799.0,ptron,bassbud revv,black,in ear,wireless
36,https://www.amazon.in/ZEBRONICS-Bluetooth-Assistant-Transparent-Rechargeable/dp/B0BYJSD8FQ/ref=sr_1_38?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386799&refinements=p_89%3AZEBRONICS&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-38,zebronic pod 2 wireless tws earbud with bluetooth 53 lead display voice assistant call function transparent charge case touch control builtin rechargeable battery black,2199.0,699.0,zebronic,zebpod 2 black,black,in ear,wireless
37,https://www.amazon.in/Meyaar-Abhinandan-Handsfree-Earphones-Headphones/dp/B095XLWS11/ref=sr_1_49?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386811&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-49,meyaar beex abhinandan series wire handsfree stereo earphone inear headphone bass earbud headset with mic 2 pack white,999.0,249.0,meyaar,meyaar,white,in ear,wire
38,https://www.amazon.in/Rockerz-370-Headphone-Bluetooth-Lightweight/dp/B0856HNMR7/ref=sr_1_13?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386785&refinements=p_89%3AboAt&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-13,boat rockerz 370 on ear bluetooth headphone with upto 12 hour playtime cozy padded earcup and bluetooth v50 with mic buoyant black,2499.0,1099.0,boat,rockerz 370,buoyant black,on ear,wireless
39,https://www.amazon.in/boAt-Rockerz-330-Bluetooth-Earphones/dp/B09LHZWR7T/ref=sr_1_65?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386788&refinements=p_89%3AboAt&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-65,boat rockerz 330 pro inear bluetooth neckband with 60hrs playtime asap charge enx tech signature sound bt v52 dual pair ipx5 with mic teal green,2990.0,1799.0,boat,rockerz 330 pro,teal green,in ear,bluetooth 52
40,https://www.amazon.in/Airdopes-141-Playtime-Resistance-Bluetooth/dp/B09N3ZNHTY/ref=sr_1_25?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386846&rnid=3837712031&sprefix=%2Caps%2C1567&sr=8-25,boat airdope 141 bluetooth truly wireless in ear headphone with mic 42h playtime beast modelow latency upto 80ms for game enx tech asap charge iwp ipx4 water resistance bold black,4490.0,1399.0,boat,airdopes 141,bold black,in ear,bluetooth 51
41,https://www.amazon.in/Launched-Basspods-Bluetooth-Earphones-Resistant/dp/B0BZDFSPV4/ref=sr_1_39?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386870&refinements=p_89%3APTron&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-39,ptron newly launch basspod p251 bluetooth v51 wireless earphone 13 mm driver stereo sound stereo call 28hrs playtime touch control tws earbuds voice assist ipx4 water resistant black,2599.0,899.0,ptron,basspod,black,nan,nan
